WARD SECTION (CONCATENATED),WARD,SECTION,MONTH NAME,MONTH NUMBER,DATES
2506,25,6,NOVEMBER,11,"19,20"
2507,25,7,APRIL,4,"18,19"
2507,25,7,MAY,5,"16,17"
2507,25,7,JUNE,6,"20,21"
2507,25,7,JULY,7,"18,19"
2507,25,7,AUGUST,8,"15,16"
2507,25,7,SEPTEMBER,9,"19,20"
2507,25,7,OCTOBER,10,"17,18"
2507,25,7,NOVEMBER,11,"15,21"
2508,25,8,APRIL,4,"20,23"
2508,25,8,MAY,5,18
2508,25,8,JUNE,6,"15,25"
2508,25,8,JULY,7,"20,23"
2508,25,8,AUGUST,8,"17,27"
2508,25,8,SEPTEMBER,9,"21,24"
2508,25,8,OCTOBER,10,"19,22"
2508,25,8,NOVEMBER,11,"16,26"
2509,25,9,APRIL,4,"24,25"
2509,25,9,MAY,5,"22,23"
2509,25,9,JUNE,6,"26,27"
2509,25,9,JULY,7,"24,25"
2509,25,9,AUGUST,8,"22,28"
2509,25,9,SEPTEMBER,9,"25,26"
2509,25,9,OCTOBER,10,"23,24"
2510,25,10,APRIL,4,"26,27"
2510,25,10,MAY,5,"24,25"
2510,25,10,JUNE,6,"22,28"
2510,25,10,JULY,7,"26,27"
2510,25,10,AUGUST,8,"23,24"
2510,25,10,SEPTEMBER,9,"27,28"
2510,25,10,OCTOBER,10,"25,26"
2510,25,10,NOVEMBER,11,23
2601,26,1,APRIL,4,2
2601,26,1,MAY,5,"7,31"
2601,26,1,JUNE,6,1
2601,26,1,JULY,7,31
2601,26,1,AUGUST,8,"1,30,31"
2601,26,1,SEPTEMBER,9,28
2601,26,1,OCTOBER,10,"1,30,31"
2601,26,1,NOVEMBER,11,7
2602,26,2,APRIL,4,"27,30"
2602,26,2,MAY,5,"29,30"
2602,26,2,JUNE,6,"28,29"
2602,26,2,JULY,7,"27,30"
2602,26,2,AUGUST,8,"28,29"
2602,26,2,OCTOBER,10,"26,29"
2603,26,3,APRIL,4,"25,26"
2603,26,3,MAY,5,"24,25"
2603,26,3,JUNE,6,"26,27"
2603,26,3,JULY,7,"25,26"
2603,26,3,AUGUST,8,"24,27"
2603,26,3,SEPTEMBER,9,"26,27"
2603,26,3,OCTOBER,10,"24,25"
2604,26,4,APRIL,4,"23,24"
2604,26,4,MAY,5,"22,23"
2604,26,4,JUNE,6,"22,25"
2604,26,4,JULY,7,"23,24"
2604,26,4,AUGUST,8,"22,23"
2604,26,4,SEPTEMBER,9,"24,25"
2604,26,4,OCTOBER,10,"22,23"
2605,26,5,APRIL,4,"12,13"
2605,26,5,MAY,5,"10,11"
2605,26,5,JUNE,6,"8,14"
2605,26,5,JULY,7,"12,13"
2605,26,5,AUGUST,8,"9,10"
2605,26,5,SEPTEMBER,9,"13,14"
2605,26,5,OCTOBER,10,"11,12"
2605,26,5,NOVEMBER,11,"8,9"
2606,26,6,APRIL,4,"9,16"
2606,26,6,MAY,5,"14,21"
2606,26,6,JUNE,6,"11,18"
2606,26,6,JULY,7,"9,16"
2606,26,6,AUGUST,8,"13,20"
2606,26,6,SEPTEMBER,9,"10,17"
2606,26,6,OCTOBER,10,15
2606,26,6,NOVEMBER,11,12
2607,26,7,APRIL,4,"10,11"
2607,26,7,MAY,5,"8,9"
2607,26,7,JUNE,6,"12,13"
2607,26,7,JULY,7,"10,11"
2607,26,7,AUGUST,8,"8,14"
2607,26,7,SEPTEMBER,9,"11,12"
2607,26,7,OCTOBER,10,"9,10"
2607,26,7,NOVEMBER,11,"13,14"
2608,26,8,APRIL,4,"19,20"
2608,26,8,MAY,5,"17,18"
2608,26,8,JUNE,6,"15,21"
2608,26,8,JULY,7,"19,20"
2608,26,8,AUGUST,8,"16,17"
2608,26,8,SEPTEMBER,9,"20,21"
2608,26,8,OCTOBER,10,"18,19"
2608,26,8,NOVEMBER,11,"15,16"
2609,26,9,APRIL,4,"17,18"
2609,26,9,MAY,5,"15,16"
2609,26,9,JUNE,6,"19,20"
2609,26,9,JULY,7,"17,18"
2609,26,9,AUGUST,8,"15,21"
2609,26,9,SEPTEMBER,9,"18,19"
2609,26,9,OCTOBER,10,"16,17"
2610,26,10,APRIL,4,"5,6"
2610,26,10,MAY,5,"3,4"
2610,26,10,JUNE,6,"6,7"
2610,26,10,JULY,7,"5,6"
2610,26,10,AUGUST,8,"6,7"
2610,26,10,SEPTEMBER,9,"6,7"
2610,26,10,OCTOBER,10,"4,5"
2610,26,10,NOVEMBER,11,"5,6"
2611,26,11,APRIL,4,"3,4"
2611,26,11,MAY,5,"1,2"
2611,26,11,JUNE,6,"4,5"
2611,26,11,JULY,7,"2,3"
2611,26,11,AUGUST,8,"2,3"
2611,26,11,SEPTEMBER,9,"4,5"
2611,26,11,OCTOBER,10,"2,3"
2611,26,11,NOVEMBER,11,"1,2"
2701,27,1,APRIL,4,"2,3"
2701,27,1,MAY,5,"14,15"
2701,27,1,JUNE,6,"26,27"
2701,27,1,AUGUST,8,"8,9"
2701,27,1,SEPTEMBER,9,"20,21"
2701,27,1,NOVEMBER,11,"2,5"
2702,27,2,APRIL,4,"4,5"
2702,27,2,MAY,5,"16,17"
2702,27,2,JUNE,6,"28,29"
2702,27,2,AUGUST,8,"10,11"
2702,27,2,SEPTEMBER,9,"24,25"
2702,27,2,NOVEMBER,11,"6,7"
2703,27,3,APRIL,4,"6,9"
2703,27,3,MAY,5,"18,21"
2703,27,3,JULY,7,"2,3"
2703,27,3,AUGUST,8,"14,15"
2703,27,3,SEPTEMBER,9,"26,27"
2703,27,3,NOVEMBER,11,"8,9"
2704,27,4,APRIL,4,"10,11"
2704,27,4,MAY,5,"22,23"
2704,27,4,JULY,7,"5,6"
2704,27,4,AUGUST,8,"16,17"
2704,27,4,SEPTEMBER,9,28
2704,27,4,OCTOBER,10,1
2704,27,4,NOVEMBER,11,"12,13"
2705,27,5,APRIL,4,"12,13"
2705,27,5,MAY,5,"24,25"
2705,27,5,JULY,7,"9,10"
2705,27,5,AUGUST,8,"20,21"
2705,27,5,OCTOBER,10,"2,3"
2705,27,5,NOVEMBER,11,"14,15"
2706,27,6,APRIL,4,"16,17"
2706,27,6,MAY,5,"29,30"
2706,27,6,JULY,7,"11,12"
2706,27,6,AUGUST,8,"22,23"
2706,27,6,OCTOBER,10,"4,5"
2706,27,6,NOVEMBER,11,16
2707,27,7,APRIL,4,"18,19"
2707,27,7,MAY,5,31
2707,27,7,JUNE,6,2
2707,27,7,JULY,7,"13,16"
2707,27,7,AUGUST,8,"24,27"
2707,27,7,OCTOBER,10,"9,10"
2708,27,8,APRIL,4,"20,23"
2708,27,8,JUNE,6,"4,5"
2708,27,8,JULY,7,"17,18"
2708,27,8,AUGUST,8,"28,29"
2708,27,8,OCTOBER,10,"11,12"
2709,27,9,APRIL,4,"24,25"
2709,27,9,JUNE,6,"6,7"
2709,27,9,JULY,7,"19,20"
2709,27,9,AUGUST,8,"30,31"
2709,27,9,OCTOBER,10,"15,16"
2710,27,10,APRIL,4,"26,27"
2710,27,10,JUNE,6,"8,11"
2710,27,10,JULY,7,"23,24"
2710,27,10,SEPTEMBER,9,"4,5"
2710,27,10,OCTOBER,10,"17,18"
2711,27,11,APRIL,4,30
2711,27,11,MAY,5,1
2711,27,11,JUNE,6,"12,13"
2711,27,11,JULY,7,"25,26"
2711,27,11,SEPTEMBER,9,"6,7"
2711,27,11,OCTOBER,10,"19,22"
2712,27,12,MAY,5,"2,3"
2712,27,12,JUNE,6,"14,15"
2712,27,12,JULY,7,"27,30"
2712,27,12,SEPTEMBER,9,"10,11"
2712,27,12,OCTOBER,10,"23,24"
2713,27,13,MAY,5,"4,7"
2713,27,13,JUNE,6,"18,19"
2713,27,13,JULY,7,31
2713,27,13,AUGUST,8,1
2713,27,13,SEPTEMBER,9,"12,13"
2713,27,13,OCTOBER,10,"25,26"
2714,27,14,MAY,5,"8,9"
2714,27,14,JUNE,6,"20,21"
2714,27,14,AUGUST,8,"2,3"
2714,27,14,SEPTEMBER,9,"14,17"
2714,27,14,OCTOBER,10,"29,30"
2715,27,15,MAY,5,"10,11"
2715,27,15,JUNE,6,"22,25"
2715,27,15,AUGUST,8,"6,7"
2715,27,15,SEPTEMBER,9,"18,19"
2715,27,15,OCTOBER,10,31
2715,27,15,NOVEMBER,11,1
2801,28,1,APRIL,4,"2,3"
2801,28,1,MAY,5,"8,9"
2801,28,1,JUNE,6,"14,14"
2801,28,1,JULY,7,"25,26"
2801,28,1,SEPTEMBER,9,"6,7"
2801,28,1,OCTOBER,10,"15,16"
2802,28,2,APRIL,4,"4,5"
2802,28,2,MAY,5,"10,1"
2802,28,2,JUNE,6,"18,19"
2802,28,2,JULY,7,"30,31"
2802,28,2,SEPTEMBER,9,"11,12"
2802,28,2,OCTOBER,10,"17,8"
2803,28,3,APRIL,4,"6,9"
2803,28,3,MAY,5,"14,15"
2803,28,3,JUNE,6,"20,21"
2803,28,3,AUGUST,8,"1,2"
2803,28,3,SEPTEMBER,9,"12,13"
2803,28,3,OCTOBER,10,"19,22"
2804,28,4,APRIL,4,"10,11"
2804,28,4,MAY,5,"16,17"
2804,28,4,JUNE,6,"22,25"
2804,28,4,AUGUST,8,"3,6"
2804,28,4,SEPTEMBER,9,"14,17"
2804,28,4,OCTOBER,10,"23,24"
2805,28,5,APRIL,4,"12,13"
2805,28,5,MAY,5,"18,21"
2805,28,5,JUNE,6,"26,27"
2805,28,5,AUGUST,8,"7,8"
2805,28,5,SEPTEMBER,9,"18,19"
2805,28,5,OCTOBER,10,"25,26"
2806,28,6,APRIL,4,"16,17"
2806,28,6,MAY,5,"22,23"
2806,28,6,JUNE,6,"28,29"
2806,28,6,AUGUST,8,"9,10"
2806,28,6,SEPTEMBER,9,"20,21"
2806,28,6,OCTOBER,10,"29,30"
2807,28,7,APRIL,4,"18,19"
2807,28,7,MAY,5,"24,25"
2807,28,7,JULY,7,"2,3"
2807,28,7,AUGUST,8,"13,14"
2807,28,7,SEPTEMBER,9,"24,25"
2807,28,7,NOVEMBER,11,"2,5"
2808,28,8,APRIL,4,"20,23"
2808,28,8,MAY,5,"29,33"
2808,28,8,JULY,7,"9,10"
2808,28,8,AUGUST,8,"15,16"
2808,28,8,OCTOBER,10,"5,9"
2808,28,8,NOVEMBER,11,"6,8"
2809,28,9,APRIL,4,"24,25"
2809,28,9,MAY,5,31
2809,28,9,JUNE,6,1
2809,28,9,JULY,7,"11,12"
2809,28,9,AUGUST,8,"17,20"
2809,28,9,SEPTEMBER,9,"27,28"
2809,28,9,NOVEMBER,11,"8,9"
2810,28,10,APRIL,4,"26,27"
2810,28,10,JUNE,6,"4,5"
2810,28,10,JULY,7,"13,16"
2810,28,10,AUGUST,8,"21,22"
2810,28,10,OCTOBER,10,"1,2"
2810,28,10,NOVEMBER,11,"12,13"
2811,28,11,APRIL,4,30
2811,28,11,MAY,5,1
2811,28,11,JUNE,6,"6,7"
2811,28,11,JULY,7,"17,18"
2811,28,11,AUGUST,8,"27,28"
2811,28,11,OCTOBER,10,31
2811,28,11,NOVEMBER,11,1
2812,28,12,MAY,5,"2,3"
2812,28,12,JUNE,6,"8,11"
2812,28,12,JULY,7,"19,20"
2812,28,12,AUGUST,8,"29,30"
2812,28,12,OCTOBER,10,"10,11"
2812,28,12,NOVEMBER,11,"12,13"
2813,28,13,MAY,5,"4,7"
2813,28,13,JUNE,6,"12,13"
2813,28,13,JULY,7,"23,24"
2813,28,13,SEPTEMBER,9,"4,5"
2813,28,13,OCTOBER,10,"3,4"
2813,28,13,NOVEMBER,11,"14,15"
2901,29,1,APRIL,4,"2,3"
2901,29,1,MAY,5,"10,11"
2901,29,1,JUNE,6,"20,21"
2901,29,1,JULY,7,31
2901,29,1,AUGUST,8,1
2901,29,1,SEPTEMBER,9,"10,11"
2901,29,1,OCTOBER,10,"19,22"
2902,29,2,APRIL,4,"4,5"
2902,29,2,MAY,5,"14,15"
2902,29,2,JUNE,6,"22,25"
2902,29,2,AUGUST,8,"2,3"
2902,29,2,SEPTEMBER,9,"12,13"
2902,29,2,OCTOBER,10,"23,24"
2903,29,3,APRIL,4,"6,9"
2903,29,3,MAY,5,"16,17"
2903,29,3,JUNE,6,"26,27"
2903,29,3,AUGUST,8,"6,7"
2903,29,3,SEPTEMBER,9,"14,17"
2903,29,3,OCTOBER,10,"25,26"
2904,29,4,APRIL,4,"10,11"
2904,29,4,MAY,5,"18,21"
2904,29,4,JUNE,6,"28,29"
2904,29,4,AUGUST,8,"8,9"
2904,29,4,SEPTEMBER,9,"18,19"
2904,29,4,OCTOBER,10,"29,30"
2905,29,5,APRIL,4,"12,13"
2905,29,5,MAY,5,"22,23"
2905,29,5,JULY,7,"2,3"
2905,29,5,AUGUST,8,"10,13"
2905,29,5,SEPTEMBER,9,"20,21"
2905,29,5,OCTOBER,10,31
2905,29,5,NOVEMBER,11,1
2906,29,6,APRIL,4,"16,17"
2906,29,6,MAY,5,"24,25"
2906,29,6,JULY,7,"5,6"
2906,29,6,AUGUST,8,"14,15"
2906,29,6,SEPTEMBER,9,"24,25"
2906,29,6,NOVEMBER,11,"2,5"
2907,29,7,APRIL,4,"18,19"
2907,29,7,MAY,5,"29,30"
2907,29,7,JULY,7,"9,10"
2907,29,7,AUGUST,8,"16,17"
2907,29,7,SEPTEMBER,9,"26,27"
2907,29,7,NOVEMBER,11,"6,7"
2908,29,8,APRIL,4,"20,23"
2908,29,8,MAY,5,31
2908,29,8,JUNE,6,1
2908,29,8,JULY,7,"11,12"
2908,29,8,AUGUST,8,"20,21"
2908,29,8,SEPTEMBER,9,28
2908,29,8,OCTOBER,10,1
2908,29,8,NOVEMBER,11,"8,9"
2909,29,9,APRIL,4,"24,25"
2909,29,9,JUNE,6,"4,5"
2909,29,9,JULY,7,"13,16"
2909,29,9,AUGUST,8,"22,23"
2909,29,9,OCTOBER,10,"2,3"
2909,29,9,NOVEMBER,11,"12,13"
2910,29,10,APRIL,4,"26,27"
2910,29,10,JUNE,6,"6,7"
2910,29,10,JULY,7,"17,18"
2910,29,10,AUGUST,8,"24,27"
2910,29,10,OCTOBER,10,"4,5"
2910,29,10,NOVEMBER,11,"14,15"
2911,29,11,APRIL,4,30
2911,29,11,MAY,5,1
2911,29,11,JUNE,6,"8,11"
2911,29,11,JULY,7,"19,20"
2911,29,11,AUGUST,8,"28,29"
2911,29,11,OCTOBER,10,"9,10"
2911,29,11,NOVEMBER,11,16
2912,29,12,MAY,5,"2,3"
2912,29,12,JUNE,6,"12,13"
2912,29,12,JULY,7,"23,24"
2912,29,12,AUGUST,8,"30,31"
2912,29,12,OCTOBER,10,"11,12"
2913,29,13,MAY,5,"4,7"
2913,29,13,JUNE,6,"14,15"
2913,29,13,JULY,7,"25,26"
2913,29,13,SEPTEMBER,9,"4,5"
2913,29,13,OCTOBER,10,"15,16"
2914,29,14,MAY,5,"8,9"
2914,29,14,JUNE,6,"18,19"
2914,29,14,JULY,7,"27,30"
2914,29,14,SEPTEMBER,9,"6,7"
2914,29,14,OCTOBER,10,"17,18"
3001,30,1,APRIL,4,"2,3"
3001,30,1,MAY,5,"2,3"
3001,30,1,JUNE,6,"4,5"
3001,30,1,JULY,7,"5,6"
3001,30,1,AUGUST,8,"6,7"
3001,30,1,SEPTEMBER,9,"6,7"
3001,30,1,OCTOBER,10,"9,10"
3001,30,1,NOVEMBER,11,"8,9"
3002,30,2,APRIL,4,"4,5"
3002,30,2,MAY,5,"4,7"
3002,30,2,JUNE,6,"6,7"
3002,30,2,JULY,7,"9,10"
3002,30,2,AUGUST,8,"8,9"
3002,30,2,SEPTEMBER,9,"10,11"
3002,30,2,OCTOBER,10,"11,12"
3002,30,2,NOVEMBER,11,"12,13"
3003,30,3,APRIL,4,"6,9"
3003,30,3,MAY,5,"8,9"
3003,30,3,JUNE,6,"8,11"
3003,30,3,JULY,7,"11,12"
3003,30,3,AUGUST,8,"10,13"
3003,30,3,SEPTEMBER,9,"12,13"
3003,30,3,OCTOBER,10,"15,16"
3003,30,3,NOVEMBER,11,"14,15"
3004,30,4,APRIL,4,"10,11"
3004,30,4,MAY,5,"10,11"
3004,30,4,JUNE,6,"12,13"
3004,30,4,JULY,7,"13,16"
3004,30,4,AUGUST,8,"14,15"
3004,30,4,SEPTEMBER,9,"14,17"
3004,30,4,OCTOBER,10,"17,18"
3004,30,4,NOVEMBER,11,16
3005,30,5,APRIL,4,"12,13"
3005,30,5,MAY,5,"14,15"
3005,30,5,JUNE,6,"14,15"
3005,30,5,JULY,7,"17,18"
3005,30,5,AUGUST,8,"16,17"
3005,30,5,SEPTEMBER,9,"18,19"
3005,30,5,OCTOBER,10,"19,22"
3006,30,6,APRIL,4,"16,17"
3006,30,6,MAY,5,"16,17"
3006,30,6,JUNE,6,"18,19"
3006,30,6,JULY,7,"19,20"
3006,30,6,AUGUST,8,"20,21"
3006,30,6,SEPTEMBER,9,"20,21"
3006,30,6,OCTOBER,10,"23,24"
3007,30,7,APRIL,4,"18,19"
3007,30,7,MAY,5,"18,21"
3007,30,7,JUNE,6,"20,21"
3007,30,7,JULY,7,"23,24"
3007,30,7,AUGUST,8,"22,23"
3007,30,7,SEPTEMBER,9,"24,25"
3007,30,7,OCTOBER,10,"25,26"
3008,30,8,APRIL,4,"20,23"
3008,30,8,MAY,5,"22,23"
3008,30,8,JUNE,6,"22,25"
3008,30,8,JULY,7,"25,26"
3008,30,8,AUGUST,8,"24,27"
3008,30,8,SEPTEMBER,9,"26,27"
3008,30,8,OCTOBER,10,"29,30"
3009,30,9,APRIL,4,"24,25"
3009,30,9,MAY,5,"24,25"
3009,30,9,JUNE,6,"26,27"
3009,30,9,JULY,7,"27,30"
3009,30,9,AUGUST,8,"28,29"
3009,30,9,SEPTEMBER,9,28
3009,30,9,OCTOBER,10,"1,31"
3009,30,9,NOVEMBER,11,1
3010,30,10,APRIL,4,"26,27"
3010,30,10,MAY,5,"29,30"
3010,30,10,JUNE,6,"28,29"
3010,30,10,JULY,7,31
3010,30,10,AUGUST,8,"1,30,31"
3010,30,10,OCTOBER,10,"2,3"
3010,30,10,NOVEMBER,11,"2,5"
3011,30,11,APRIL,4,30
3011,30,11,MAY,5,"1,31"
3011,30,11,JUNE,6,1
3011,30,11,JULY,7,"2,3"
3011,30,11,AUGUST,8,"2,3"
3011,30,11,SEPTEMBER,9,"4,5"
3011,30,11,OCTOBER,10,"4,5"
3011,30,11,NOVEMBER,11,"6,7"
3101,31,1,APRIL,4,"2,3"
3101,31,1,MAY,5,"4,7"
3101,31,1,JUNE,6,"8,11"
3101,31,1,JULY,7,"13,16"
3101,31,1,AUGUST,8,"16,17"
3101,31,1,SEPTEMBER,9,"20,21"
3101,31,1,OCTOBER,10,"25,26"
3102,31,2,APRIL,4,"4,5"
3102,31,2,MAY,5,"8,9"
3102,31,2,JUNE,6,"12,13"
3102,31,2,JULY,7,"17,18"
3102,31,2,AUGUST,8,"20,21"
3102,31,2,SEPTEMBER,9,"24,25"
3102,31,2,OCTOBER,10,"29,30"
3103,31,3,APRIL,4,"6,9"
3103,31,3,MAY,5,"10,11"
3103,31,3,JUNE,6,"14,15"
3103,31,3,JULY,7,"19,20"
3103,31,3,AUGUST,8,"22,23"
3103,31,3,SEPTEMBER,9,"26,27"
3103,31,3,OCTOBER,10,31
3103,31,3,NOVEMBER,11,1
3104,31,4,APRIL,4,"10,11"
3104,31,4,MAY,5,"14,15"
3104,31,4,JUNE,6,"18,19"
3104,31,4,JULY,7,"23,24"
3104,31,4,AUGUST,8,"24,27"
3104,31,4,SEPTEMBER,9,28
3104,31,4,OCTOBER,10,1
3104,31,4,NOVEMBER,11,"2,5"
3105,31,5,APRIL,4,"12,13"
3105,31,5,MAY,5,"16,17"
3105,31,5,JUNE,6,"20,21"
3105,31,5,JULY,7,"25,26"
3105,31,5,AUGUST,8,"28,29"
3105,31,5,OCTOBER,10,"2,3"
3105,31,5,NOVEMBER,11,"6,7"
3106,31,6,APRIL,4,"16,17"
3106,31,6,MAY,5,"18,21"
3106,31,6,JUNE,6,"22,25"
3106,31,6,JULY,7,"27,30"
3106,31,6,AUGUST,8,"30,31"
3106,31,6,OCTOBER,10,"4,5"
3106,31,6,NOVEMBER,11,"8,9"
3107,31,7,APRIL,4,"18,19"
3107,31,7,MAY,5,"22,23"
3107,31,7,JUNE,6,"26,27"
3107,31,7,JULY,7,31
3107,31,7,AUGUST,8,1
3107,31,7,SEPTEMBER,9,"4,5"
3107,31,7,OCTOBER,10,"9,10"
3107,31,7,NOVEMBER,11,"12,13"
3108,31,8,APRIL,4,"20,23"
3108,31,8,MAY,5,"24,25"
3108,31,8,JUNE,6,"28,29"
3108,31,8,AUGUST,8,"2,3"
3108,31,8,SEPTEMBER,9,"6,7"
3108,31,8,OCTOBER,10,"11,12"
3108,31,8,NOVEMBER,11,"14,15"
3109,31,9,APRIL,4,"24,25"
3109,31,9,MAY,5,"29,30"
3109,31,9,JULY,7,"2,3"
3109,31,9,AUGUST,8,"6,7"
3109,31,9,SEPTEMBER,9,"10,11"
3109,31,9,OCTOBER,10,"15,16"
3109,31,9,NOVEMBER,11,16
3110,31,10,APRIL,4,"26,27"
3110,31,10,MAY,5,31
3110,31,10,JUNE,6,1
3110,31,10,JULY,7,"5,6"
3110,31,10,AUGUST,8,"8,9"
3110,31,10,SEPTEMBER,9,"12,13"
3110,31,10,OCTOBER,10,"17,18"
3111,31,11,APRIL,4,30
3111,31,11,MAY,5,1
3111,31,11,JUNE,6,"4,5"
3111,31,11,JULY,7,"9,10"
3111,31,11,AUGUST,8,"10,13"
3111,31,11,SEPTEMBER,9,"14,17"
3111,31,11,OCTOBER,10,"19,22"
3112,31,12,MAY,5,"2,3"
3112,31,12,JUNE,6,"6,7"
3112,31,12,JULY,7,"11,12"
3112,31,12,AUGUST,8,"14,15"
3112,31,12,SEPTEMBER,9,"18,19"
3112,31,12,OCTOBER,10,"23,24"
3201,32,1,APRIL,4,30
3201,32,1,MAY,5,1
3201,32,1,JULY,7,"8,11"
3201,32,1,AUGUST,8,"19,20"
3201,32,1,SEPTEMBER,9,"28,29"
3201,32,1,NOVEMBER,11,"9,10"
3202,32,2,MAY,5,"2,3"
3202,32,2,JUNE,6,"12,13"
3202,32,2,JULY,7,"23,24"
3202,32,2,AUGUST,8,"30,31"
3202,32,2,OCTOBER,10,"11,12"
3203,32,3,MAY,5,"4,7"
3203,32,3,JUNE,6,"14,15"
3203,32,3,JULY,7,"25,26"
3203,32,3,SEPTEMBER,9,"4,5"
3203,32,3,OCTOBER,10,"15,16"
3204,32,4,MAY,5,"8,9"
3204,32,4,JUNE,6,"18,19"
3204,32,4,JULY,7,"27,30"
3204,32,4,SEPTEMBER,9,"6,7"
3204,32,4,OCTOBER,10,"17,18"
3205,32,5,APRIL,4,"2,3"
3205,32,5,MAY,5,"10,11"
3205,32,5,JUNE,6,"20,21"
3205,32,5,JULY,7,31
3205,32,5,AUGUST,8,1
3205,32,5,OCTOBER,10,"19,22"
3206,32,6,APRIL,4,"4,5"
3206,32,6,MAY,5,"14,15"
3206,32,6,JUNE,6,"22,25"
3206,32,6,AUGUST,8,"2,3"
3206,32,6,SEPTEMBER,9,"12,13"
3206,32,6,OCTOBER,10,"23,24"
3207,32,7,APRIL,4,"6,9"
3207,32,7,MAY,5,"16,17"
3207,32,7,JUNE,6,"26,27"
3207,32,7,JULY,7,"6,7"
3207,32,7,AUGUST,8,"14,17"
3207,32,7,OCTOBER,10,"25,26"
3208,32,8,APRIL,4,"10,11"
3208,32,8,MAY,5,"18,21"
3208,32,8,JUNE,6,"28,29"
3208,32,8,AUGUST,8,"8,9"
3208,32,8,SEPTEMBER,9,"18,19"
3208,32,8,OCTOBER,10,"29,30"
3209,32,9,APRIL,4,"12,13"
3209,32,9,MAY,5,"22,23"
3209,32,9,JULY,7,"2,3"
3209,32,9,AUGUST,8,"10,13"
3209,32,9,SEPTEMBER,9,"20,21"
3209,32,9,OCTOBER,10,31
3209,32,9,NOVEMBER,11,1
3210,32,10,APRIL,4,"16,17"
3210,32,10,MAY,5,"24,25"
3210,32,10,JULY,7,"5,6"
3210,32,10,AUGUST,8,"14,15"
3210,32,10,SEPTEMBER,9,"24,25"
3210,32,10,NOVEMBER,11,"2,5"
3211,32,11,APRIL,4,"18,19"
3211,32,11,MAY,5,"29,30"
3211,32,11,JULY,7,"9,10"
3211,32,11,AUGUST,8,"16,17"
3211,32,11,SEPTEMBER,9,"26,27"
3211,32,11,NOVEMBER,11,"6,7"
3212,32,12,APRIL,4,"20,23"
3212,32,12,MAY,5,31
3212,32,12,JUNE,6,1
3212,32,12,AUGUST,8,"20,21"
3212,32,12,SEPTEMBER,9,28
3212,32,12,OCTOBER,10,1
3212,32,12,NOVEMBER,11,"8,9"
3213,32,13,APRIL,4,"24,25"
3213,32,13,JUNE,6,"4,5"
3213,32,13,JULY,7,"13,16"
3213,32,13,AUGUST,8,"22,23"
3213,32,13,OCTOBER,10,"2,3"
3213,32,13,NOVEMBER,11,"12,13"
3214,32,14,APRIL,4,"26,27"
3214,32,14,JUNE,6,"6,7"
3214,32,14,JULY,7,"17,18"
3214,32,14,AUGUST,8,"24,27"
3214,32,14,OCTOBER,10,"4,5"
3214,32,14,NOVEMBER,11,"14,15"
3301,33,1,APRIL,4,"12,13"
3301,33,1,MAY,5,"22,23"
3301,33,1,JULY,7,"2,3"
3301,33,1,AUGUST,8,"10,13"
3301,33,1,SEPTEMBER,9,"20,21"
3301,33,1,OCTOBER,10,31
3301,33,1,NOVEMBER,11,1
3302,33,2,APRIL,4,"16,17"
3302,33,2,MAY,5,"24,25"
3302,33,2,JULY,7,"5,6"
3302,33,2,AUGUST,8,"14,15"
3302,33,2,SEPTEMBER,9,"24,25"
3302,33,2,NOVEMBER,11,"2,5"
3303,33,3,APRIL,4,"18,19"
3303,33,3,MAY,5,"29,30"
3303,33,3,JULY,7,"9,10"
3303,33,3,AUGUST,8,"16,17"
3303,33,3,SEPTEMBER,9,"26,27"
3303,33,3,NOVEMBER,11,"6,7"
3304,33,4,APRIL,4,"20,23"
3304,33,4,MAY,5,31
3304,33,4,JUNE,6,1
3304,33,4,JULY,7,"11,12"
3304,33,4,AUGUST,8,"20,21"
3304,33,4,SEPTEMBER,9,28
3304,33,4,OCTOBER,10,1
3304,33,4,NOVEMBER,11,"8,9"
3305,33,5,APRIL,4,"24,25"
3305,33,5,JUNE,6,"4,5"
3305,33,5,JULY,7,"13,16"
3305,33,5,AUGUST,8,"22,23"
3305,33,5,OCTOBER,10,"2,3"
3305,33,5,NOVEMBER,11,"12,13"
3306,33,6,APRIL,4,"26,27"
3306,33,6,JUNE,6,"6,7"
3306,33,6,JULY,7,"17,18"
3306,33,6,AUGUST,8,"24,27"
3306,33,6,OCTOBER,10,"4,5"
3306,33,6,NOVEMBER,11,"14,15"
3307,33,7,APRIL,4,30
3307,33,7,MAY,5,1
3307,33,7,JUNE,6,"8,11"
3307,33,7,JULY,7,"19,20"
3307,33,7,AUGUST,8,"28,29"
3307,33,7,OCTOBER,10,"9,10"
3307,33,7,NOVEMBER,11,16
3308,33,8,MAY,5,"2,3"
3308,33,8,JUNE,6,"12,13"
3308,33,8,JULY,7,"23,24"
3308,33,8,AUGUST,8,"30,31"
3308,33,8,OCTOBER,10,"11,12"
3309,33,9,MAY,5,"4,7"
3309,33,9,JUNE,6,"14,15"
3309,33,9,JULY,7,"25,26"
3309,33,9,SEPTEMBER,9,"4,5"
3309,33,9,OCTOBER,10,"15,16"
3310,33,10,MAY,5,"8,9"
3310,33,10,JUNE,6,"18,19"
3310,33,10,JULY,7,"27,30"
3310,33,10,SEPTEMBER,9,"6,7"
3310,33,10,OCTOBER,10,"17,18"
3311,33,11,APRIL,4,"2,3"
3311,33,11,MAY,5,"10,11"
